"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
127,1127,7,2,0.45,3.79183478500165,0.371690879837695,-156.440131478968,0.0182861895764969,5,"success",NA
127,1127,8,4,0.45,3.68843510169956,0.375795461299072,-156.423171720233,0.0291527774892465,5,"success",NA
127,1127,9,6,0.45,3.90876387517209,0.360600423797987,-156.413225696519,0.0256706576605953,5,"success",NA
128,1128,1,2,0.1,3.63062997329615,0.365197492015594,-163.485795049022,0.0219383211992366,5,"success",NA
128,1128,2,4,0.1,3.4865803606323,0.373217300342992,-163.508768670443,0.0277548116479107,5,"success",NA
128,1128,3,6,0.1,3.7248594354113,0.389779678302311,-163.555274493123,0.0179080860542029,5,"success",NA
128,1128,4,2,0.3,3.46136078766748,0.362645587821268,-163.462723596832,0.0141346211222453,5,"success",NA
128,1128,5,4,0.3,3.3381015945418,0.36717215901534,-163.484373304968,0.012820676992905,5,"success",NA
128,1128,6,6,0.3,3.49050699544532,0.345003041029477,-163.469604310385,0.0128619388136913,5,"success",NA
128,1128,7,2,0.45,3.55765837469924,0.36016497931712,-163.476613587107,0.0156410494097944,5,"success",NA
128,1128,8,4,0.45,3.55499083242489,0.370333563750697,-163.52843689094,0.00782424198087697,5,"success",NA
128,1128,9,6,0.45,3.44314081165972,0.364654394269668,-163.525336013364,0.0182890862848221,5,"success",NA
129,1129,1,2,0.1,5.17849914568031,0.290783972062052,-193.408257334887,0.0171836588724966,5,"success",NA
129,1129,2,4,0.1,5.19651889431116,0.300033497600184,-193.446192479796,0.022851533030115,5,"success",NA
129,1129,3,6,0.1,5.14072558182501,0.299920301809035,-193.444712306496,0.0272721373661634,5,"success",NA
129,1129,4,2,0.3,4.9256182079308,0.29086207303251,-193.402039811006,0.0269989244652144,5,"success",NA
129,1129,5,4,0.3,4.93905963189165,0.305339911110083,-193.445622678949,0.020741118522754,5,"success",NA
129,1129,6,6,0.3,4.88000961944958,0.308445568678822,-193.444029792479,0.026793424139306,5,"success",NA
129,1129,7,2,0.45,5.00482145718722,0.278770018584131,-193.415157331968,0.0229673474822219,5,"success",NA
129,1129,8,4,0.45,4.97398367198049,0.277274754723617,-193.424463492651,0.0310935176680389,5,"success",NA
129,1129,9,6,0.45,4.94868269197831,0.292997851377231,-193.379835643657,0.0133657560688608,5,"success",NA
130,1130,1,2,0.1,2.91031728496392,0.379411265831715,-145.30402730889,0.021975192389534,5,"success",NA
130,1130,2,4,0.1,2.87104178318647,0.372239303122141,-145.289221725865,0.0235384701317329,5,"success",NA
130,1130,3,6,0.1,2.79029128916924,0.391675883057171,-145.336229184533,0.0124741115547876,5,"success",NA
130,1130,4,2,0.3,2.93487313600521,0.371923579906588,-145.297807497418,0.015419285551469,5,"success",NA
130,1130,5,4,0.3,2.75817261663419,0.350405668773692,-145.32782454742,0.0125045978045031,5,"success",NA
130,1130,6,6,0.3,2.90157297199944,0.373292900491232,-145.325413596433,0.028194640894919,5,"success",NA
130,1130,7,2,0.45,2.95582636130112,0.400456444624438,-145.344742289943,0.0116187299202762,5,"success",NA
130,1130,8,4,0.45,2.78911364481858,0.373733733310706,-145.316362353234,0.0114495172106126,5,"success",NA
130,1130,9,6,0.45,2.69236396319505,0.394148763483815,-145.327449519027,0.0184036788166996,5,"success",NA
131,1131,1,2,0.1,4.25051289737631,0.244384586374909,-192.24807850092,0.00701148521244601,5,"success",NA
